no;km;parcours
682;51;MONTAUBAN – D61 – BOISGERVILLY – D71 – ST MAUGAN – à droite D30 – MUEL – D30 – GAËL – à gauche avant le bourg D773 – La Loriette – à gauche D141 – Chau de Comper – D31 – ST MALON/MEL – D31 – ST GONLAY – D31 – IFFENDIC – D61 – MONTAUBAN
683;36;MONTAUBAN – D61 – BOISGERVILLY – D71 – ST MAUGAN – à droite D30 – MUEL – à gauche D59 – D31 – ST MALON/MEL – D31 – ST GONLAY – D31 – IFFENDIC – D61 – MONTAUBAN
686;63;MONTAUBAN – D61 – IFFENDIC – D61 – ST PERAN – D61 – PLELAN LE G D - D38 - PAIMPONT - D773 - GAËL - à droite avant le bourg D30 - MUEL - D30 - S T MAUGAN - à gauche D71 - BOISGERVILLY - D61 - MONTAUBAN
687;51;MONTAUBAN – D61 – IFFENDIC – D31 – ST GONLAY - D31 - ST MALON/MEL - D31 (direction Concoret) – à gauche D31 (direction Concoret) - Chau de Comper - D141 – La Loriette - à droite D773 - GAËL - à droite avant le bourg D30 - MUEL - D30 - ST MAUGAN - à gauche D71 - BOISGERVILLY - D61 - MONTAUBAN
688;36;MONTAUBAN – D61 – IFFENDIC – D31 – ST GONLAY - D31 - ST MALON/MEL - à droite D31 (direction Concoret) - D59 - MUEL - à droite D30 - ST MAUGAN - à gauche D71 - BOISGERVILLY - D61 - MONTAUBAN
691;65;MONTAUBAN – D61 – MEDREAC – à gauche D220 – QUEDILLAC – D59 – D712 – ST JOUAN DE L’ISLE – D712 – à gauche D46 – PLUMAUGAT – D46 – LANRELAS – D61 (direction St Launeuc) – à gauche D76 (direction St Meen) – Les Treize Chênes – à droite D52 – TREMOREL – à droite à l’église et 1ère à gauche – VC (direction Le Loscouët) – traverser D764 – VC (direction Les Buissonnets) – après 2 km, sur la gauche – LE LOSCOUËT/MEU – D66 – D220 – ST MEEN LE GD – D125 – BOISGERVILLY – D61 – MONTAUBAN
692;53;MONTAUBAN – D61 – MEDREAC – à gauche D220 – QUEDILLAC – D59 – D712 – ST JOUAN DE L’ISLE – à gauche D766 (direction St Méen) – 1 ère à droite (direction Bénin) – BENIN – à droite VC (direction Plumaugat) – à droite D19 (La Gigondais) – PLUMAUGAT – D46 (direction Lanrelas) et aussitôt à gauche VC – La Gautraie – D764 (direction St Méen) – passer sous 4 voies – au rond point à gauche (direction St Méen par route réservée aux vélos) – à gauche D220 (direction St Méen) – ST MEEN LE GD – D125 – BOISGERVILLY – D61 – MONTAUBAN
693;38;MONTAUBAN – D61 – MEDREAC – à gauche D220 – QUEDILLAC – D220 (direction St Méen) – La Prévostais – à gauche D166 (direction St Méen) – au rond point entrée St Méen tout droit, D125 – BOISGERVILLY – D61 – MONTAUBAN
696;65;MONTAUBAN – D61 – BOISGERVILLY – D125 – ST MEEN LE GD – D220 - D66 – LE LOSCOUËT/ MEU – à droite (direction Trémorel) et à gauche dans le bourg - à gauche avant étang VC (direction Trémorel) – traverser D764 – TREMOREL - D52 - Les Treize Chênes - à gauche D76 (direction St Launeuc) - à droite D61 - LANRELAS - D46 - PLUMAUGAT - D46 (direction Caulnes) - à droite D712 – ST JOUAN DE L'ISLE - D712 – D59 - QUEDILLAC - D220 - MEDREAC - D61 - MONTAUBAN
697;53;MONTAUBAN – D61 – BOISGERVILLY – D125 – ST MEEN LE GD – D220 (direction Le Loscouët) – à droite après passage au-dessus 4 voies (direction trémorel par route réservée aux vélos) – aurond point D764 (direction Plumaugat) – passer sous 4 voies – à droite VC (direction Plumaugat) – La Gautraie – PLUMAUGAT – à droite D19 (direction St Méen) – après 1,9 km au niveau de La Gigondais), à gauche VC (direction Bénin) – BENIN – 1ère à gauche VC (direction St Jouan de l’Isle) – à gauche D766 – ST JOUAN DE L’ISLE – à droite D712 – D59 - QUEDILLAC - D220 - MEDREAC - D61 - MONTAUBAN
698;38;MONTAUBAN – D61 – BOISGERVILLY – D125 (direction St Méen) – au rond point entrée St Méen, tout droit D166 (direction St Jouan) – La Prévostais – à droite D220 – QUEDILLAC - D220 - MEDREAC - D61 - MONTAUBAN
701;60;MONTAUBAN – D61 – D125 – MONTFORT/MEU – D125 – BRETEIL – D125 – L’HERMITAGE (centre) – tout droit jusqu’au rond point à la sortie du bourg – à gauche D287 – à droite, passer sous 4 voies (direction Le Pont de Pacé) – à gauche D287 – GEVEZE – à gauche D28 – ROMILLE – D28 – MONTAUBAN
702;48;MONTAUBAN – D61 – D125 – MONTFORT/MEU – D125 – BRETEIL – D125 (direction L’Hermitage) – D125 – La Pierre Blanche – à gauche VC – ST GILLES – D28 – ROMILLE – D28 – MONTAUBAN
703;35;MONTAUBAN – D61 – D125 – MONTFORT/MEU – D125 – BRETEIL (entrée du bourg) – à gauche VC – BEDEE (centre) – D72 (direction Irodouër) – Tournebride – à gauche D28 – MONTAUBAN
706;60;MONTAUBAN - D28 - ROMILLE - D28 - GEVEZE - à droite D287 (direction Pacé) - Avant Le Pont de Pacé, prendre à droite D287, passer sous 4 voies, à gauche D287 – traverser route de contournement – D287 - au rond point, à droite D125 - L'HERMITAGE (centre) - D 125 - BRETEIL - D125 - MONTFORT/MEU - D125 - D61 - MONTAUBAN
707;48;MONTAUBAN – D28 – ROMILLE - D21 - ST GILLES - à droite VC - La Pierre Blanche - à droite D125 - BRETEIL - D125 - MONTFORT/MEU - D125 - D61 - MONTAUBAN
708;35;MONTAUBAN - D28 - Tournebride - à droite D72 – BEDEE (centre) - à gauche et à droite VC - BRETEIL - D125 - MONTFORT/MEU - D125 - D61 - MONTAUBAN
711;85;MONTAUBAN – D28 – ROMILLE – D21 (direction St Gilles) – au carrefour, à gauche D31 – PARTHENAY DE BGNE ( centre) – à gauche à la sortie du bourg, D231 (direction Montgermont) – Carrefour 5 routes – D231 (direction Montgermont) – 3ème à gauche VC – LA CHLLE DES FOUGERETZ – à gauche D637 (direction St Malo) – à droite VC, La Drouillère – traverser D82 puis D91 – VC – BETTON – 2ème à gauche VC – D528 – CHEVAIGNE – 1ère à gauche VC – à gauche D25 – ST GERMAIN/ILLE – à droite et à gauche à la sortie du bourg D91 (direction Aubigné) – 1ère à gauche VC – ST MEDARD/ILLE – D106 (direction Guipel) – traverser D82 – D106 – à gauche D287 – VIGNOC – à gauche après le bourg D287 – GEVEZE – D28 – ROMILLE – D28 – MONTAUBAN
712;68;MONTAUBAN – D28 – ROMILLE – D21 (direction St Gilles) – au carrefour, à gauche D31 – PARTHENAY DE BGNE (centre) – à gauche à la sortie du bourg, D231 (direction Montgermont) – Carrefour 5 routes – D231 (direction Montgermont) – 3ème à gauche VC – LA CHLLE DES FOUGERETZ – à gauche D637 (direction St Malo) – à droite VC, La Drouillère – à gauche D82 (direction Melesse) – à gauche D25 – MONTREUIL LE GAST – D25 – VIGNOC – à gauche après le bourg D287 – GEVEZE – D28 – ROMILLE – D28 – MONTAUBAN
713;52;MONTAUBAN – D28 – ROMILLE – D21 (direction St Gilles) – au carrefour, à gauche D31 – PARTHENAY DE BGNE (centre) – à gauche à la sortie du bourg, D231 (direction Montgermont) – Carrefour 5 routes – en face,VC (route à gauche de la direction Montgermont) – MONTGERVAL – 1ère à gauche dans le bourg – à droite au cédez le passage D27 – au 1 er rond point, à gauche D637 (direction La Mézière) – à gauche D28 – LA MEZIERE – D28 – GEVEZE – D28 – ROMILLE – D28 – MONTAUBAN
716;85;MONTAUBAN - D28 - ROMILLE - D28 - GEVEZE – à gauche D28 (direction La Mézière) – 1ère à gauche D287 - VIGNOC – traverser le bourg – Le Pont - à gauche D287 – 2ème à droite, passer sous 4 voies et sur la gauche D287 (direction Bazouges s/s Hédé) - à droite D106 - ST MEDARD/ILLE - D106 (direction St Aubin d'Aubigné) - à droite D91 - ST GERMAIN/ILLE - D25 (direction Mouazé) - à droite VC - CHEVAIGNÉ - à la sortie du bourg, à droite D528 (direction Melesse) - à gauche VC - BETTON - à la sortie du bourg, à droite VC - LA CHLLE DES FOUGERETZ - VC - D231 - PARTHENAY DE BGNE - D31 (direction Pleumeleuc) - à droite D21 - ROMILLE - D28 - MONTAUBAN
717;68;MONTAUBAN - D28 - ROMILLE - D28 - GEVEZE - D287 - VIGNOC - traverser le bourg – Le Pont - à droite D25 - MONTREUIL LE GAST - à droite D82 (direction Rennes) - à gauche D27 - BETTON - à la sortie du bourg, à droite VC - LA CHLLE DES FOUGERETZ - VC - D231 - PARTHENAY DE BGNE - D31 (direction Pleumeleuc) - à droite D21 - ROMILLE - D28 - MONTAUBAN
718;52;MONTAUBAN - D28 - ROMILLE - D28 - GEVEZE - D28 - LA MEZIERE - à droite D637 - à droite MONTGERVAL - VC - Carrefour 5 routes - D231 - PARTHENAY DE BGNE - D31 (direction Pleumeleuc) - à droite D21 - ROMILLE - D28 - MONTAUBAN
721;52;MONTAUBAN – D61 – BOISGERVILLY – D125 (direction St Méen) – au rond point entrée St Méen, tout droit D166 (direction St Jouan de l’Isle) – La Prévostais – à droite D220 – QUEDILLAC – D220 – MEDREAC – D220 (direction Bécherel) – D20 – Ch au de Caradeuc – à droite D70 – IRODOUËR – D221 (direction La Chlle du Lou) – D62 – La Saudraie – D262 – MONTAUBAN
722;43;MONTAUBAN – D61 – BOISGERVILLY – D125 (direction St Méen) – au rond point entrée St Méen tout droit, D166 (direction St Jouan de l’Isle) – La Prévostais – à droite D220 – QUEDILLAC – D220 – MEDREAC – à droite D61 et à gauche D21 – LANDUJAN – à droite et à gauche D62 (direction La Chlle du Lou) – à droite D62 – La Saudraie – D262 – MONTAUBAN
723;28;MONTAUBAN – D61 – BOISGERVILLY – D125 (direction St Méen) – au rond point entrée St Méen tout droit, D166 (direction St Jouan de l’Isle) – Le Bahac – à droite VC – LE CROUAIS – à gauche D59 – D28 – La Brohinière – MONTAUBAN
726;52;MONTAUBAN - D262 - La Saudraie - D62 - D221 - IRODOUËR - D70 (direction Bécherel) - Chau de Caradeuc – à gauche D20 - D220 - MEDREAC - D220 - QUEDILLAC - D220 (direction St Méen) - La Prévostais - à gauche D166 (direction St Méen) – au rond point entrée St Méen, tout droit D125 - BOISGERVILLY - D61 - MONTAUBAN
727;43;MONTAUBAN - D262 - La Saudraie - D62 - LANDUJAN - à gauche D21 - MEDREAC - D220 - QUEDILLAC - D220 (direction St Méen) - La Prévostais - à gauche D166 (direction St Méen) – au rond point entrée St Méen, tout droit D125 - BOISGERVILLY - D61 - MONTAUBAN
728;28;MONTAUBAN – La Brohinière – D28 D59 – LE CROUAIS – à droite après église VC – Le Bahac – à gauche D166 (direction St-Méen) – au rond point entrée St Méen, tout droit D125 - BOISGERVILLY - D61 - MONTAUBAN
731;53;MONTAUBAN – rue de Brest – VC – La Guiguenais – La Meslardière – Les Ferrières – 1ère à gauche VC – D59 – QUEDILLAC – à gauche D220 (direction St Méen) – La Prévostais – à gauche D166 (direction St Méen) - 2ème à droite VC (vers La Ville Fairier) – Iffetz – à droite, Truet – Queneleuc – Chlle de Bénin – 1ère à gauche VC Boudelan – à gauche D19 (direction St Méen) – D125 – ST MEEN LE G D – D59 (direction Montauban) et à droite après passage à niveau, D59 – ST ONEN LA CHLLE – D59 (direction Muel) – 2ème à gauche VC – La Poterais – traverser D71 – Le Chesnot – à droite D61 (direction Iffendic) – à gauche puis encore à gauche D31 (direction St Uniac) – à gauche D125 (direction Boisgervilly) – La Ville Lesné – à droite D261 – S T UNIAC – D261 – D61 – MONTAUBAN
732;43;MONTAUBAN – rue de Brest – VC – La Guiguenais – La Meslardière – Les Ferrières – 1ère à gauche VC – D59 – QUEDILLAC – à gauche D220 (direction St Méen) – La Prévostais – à gauche D166 (direction St Méen) - 2ème à droite VC (vers La Ville Fairier) – Iffetz – à droite, Truet – Queneleuc – Chlle de Bénin – 1ère à gauche VC – Boudelan – à gauche D19 (direction St Méen) – D125 – ST MEEN LE GD – D59 (direction Montauban) et à droite après passage à niveau, D59 – ST ONEN LA CHLLE – VC – D59 – LE CROUAIS – D59 – D28 – La Brohinière – MONTAUBAN
733;34;MONTAUBAN – rue de Brest – VC – La Guiguenais – La Meslardière – Les Ferrières – 1ère à gauche VC – D59 – QUEDILLAC – à gauche D220 (direction St Méen) – La Prévostais – à gauche D166 (direction St Méen) – à droite, Le Parson – ST MEEN LE GD (centre) – D59 – LE CROUAIS – D59 – D28 – La Brohinière – MONTAUBAN
736;53;MONTAUBAN - D61 – D261 – ST UNIAC – D261 (direction Montfort) – La Ville Lesné – à gauche D125 (direction Montfort) – à droite D31 (direction Iffendic) – 1ère à droite à l’entrée d’Iffendic – D61 (direction Montauban) – à gauche à la sortie du bourg, VC (direction St Onen la Ch lle) – Le Chesnot – traverser D71 – La Poterais – à droite D59 – ST ONEN LA CHLLE – à gauche après église, D59 – ST MEEN LE GD (centre) – D125 (direction Plumaugat) – D19 – Boudelan, à droite VC – à droite, Chlle de Bénin – Quéneleuc – Truet – Iffetz – à gauche D166 (direction St Jouan de l’Isle) – La Prévostais – à droite D220 – QUEDILLAC – D59 (direction Rennes) – à gauche VC – Les Ferrières – La Meslardière – La Guiguenais – MONTAUBAN
737;43;MONTAUBAN – D61 (direction Iffendic) – à droite juste à l’entrée d’Iffendic, VC (direction St Onen la Chlle) – Le Chesnot – traverser D71 – La Poterais – à droite D59 – ST ONEN LA CH LLE – à gauche après église, D59 – ST MEEN LE GD (centre) – rue de Dinan – Le Parson – à gauche D166 (direction St Jouan de l’Isle) – La Prévostais – à droite D220 – QUEDILLAC – D59 (direction Rennes) – à gauche VC – Les Ferrières – La Meslardière – La Guiguenais – MONTAUBAN
738;34;MONTAUBAN – D61 (direction Iffendic) – à droite juste à l’entrée d’Iffendic, VC (direction St Onen la Chlle) – Le Chesnot – traverser D71 – La Poterais – à droite D59 – ST ONEN LA CHLLE – tout droit VC (direction Boisgervilly) – à droite D125 – BOISGERVILLY - D61 – MONTAUBAN
741;57;MONTAUBAN – D61 – D125 – MONTFORT/MEU – D62 – TALENSAC – D35 – CINTRE – à droite D34 (direction Mordelles) – 1ère à gauche D68 (direction Le Rheu) – à gauche D287 – L’HERMITAGE – D21 – ST GILLES – D21 – ROMILLE – D21 – IRODOUËR – à droite et à gauche D 21 – LANDUJAN – à droite et à gauche D71 – MONTAUBAN
742;45;MONTAUBAN – D61 – D125 – MONTFORT / MEU – D125 – BRETEIL – à gauche D68 (direction Pleumeleuc) – passer sous 4 Voies – VC – La Daviais – à gauche D421 – PLEUMELEUC – D68 – ROMILLE – D21 – IRODOUËR – à droite et à gauche D21 – LANDUJAN – à droite et à gauche D71 – MONTAUBAN
743;36;MONTAUBAN – D61 – D125 (direction Montfort/meu) – à gauche, 1 km avant Montfort, D62 (direction La Nouaye) – au carrefour, à droite VC – Blavon – VC – BEDEE (centre) – D72 – IRODOUËR – à gauche D21 – LANDUJAN – à droite et à gauche D71 – MONTAUBAN
746;57;MONTAUBAN – D71 – LANDUJAN – à droite et aussitôt à gauche D21 – IRODOUËR – à droite et à gauche D21 - ROMILLE - D21 - ST GILLES - D21 - L'HERMITAGE – D287 (direction Mordelles) – à droite D68 – à droite D34 - CINTRE - D35 - TALENSAC - D62 - MONTFORT/MEU - D125 - D61 - MONTAUBAN
747;45;MONTAUBAN – D71 – LANDUJAN – à droite et aussitôt à gauche D21 – IRODOUËR – à droite et à gauche D21 - ROMILLE - D68 - PLEUMELEUC – D421 (direction Clayes) - après 1,5 km, à droite VC- La Daviais - passer sous 4 voies - D68 – BRETEIL – à droite D125 – MONTFORT/MEU - D125 - D61 - MONTAUBAN
748;36;MONTAUBAN – D71 – LANDUJAN – à droite et aussitôt à gauche D21 – IRODOUËR – à droite D72 – BEDEE (centre) – D72 (direction Montfort) – 1ère à droite VC (direction La Nouaye) - Blavon – au carrefour, à gauche D62 (direction Montfort) - à droite D125 - D61 - MONTAUBAN
751;53;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – ST MEEN LE GD – D220 – D66 – LE LOSCOUËT/MEU – D66 (direction Illifaut) – 1ère à gauche VC – D58 – GAËL – D773 (direction Paimpont) – 1ère à gauche VC – D31 – ST MALON/MEL – à gauche D31 – ST GONLAY – D31 – IFFENDIC – D61 – MONTAUBAN
752;44;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 (direction St Méen) – au rond point entrée St Méen, à gauche D125 – à droite VC – ST ONEN LA CHLLE – D59 – MUEL – D59 – D31 – ST MALON/MEL – à gauche D31 – ST GONLAY – D31 – IFFENDIC – D61 – MONTAUBAN
753;35;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 (direction St Méen) – au rond point entrée St Méen, à gauche D125 – à droite VC – ST ONEN LA CHLLE – D59 – MUEL – à gauche D 30 – ST MAUGAN – à gauche D71 – BOISGERVILLY – D61 – MONTAUBAN
756;53;MONTAUBAN - D61 - IFFENDIC - D31 - ST GONLAY - D31 - ST MALON/MEL - à droite D31 direction Concoret) – au carrefour, 2ème à gauche VC201 (direction Gaël) – à droite D773 - GAËL - à droite après l'église et 2ème à gauche D58 (direction Trémorel) – VC - à droite D66 – LE LOSCOUET/MEU - D66 – D220 - ST MEEN LE GD - D59 - LE CROUAIS - D59 - D28 - La Brohinière - MONTAUBAN
757;44;MONTAUBAN - D61 - IFFENDIC - D31 - ST GONLAY - D31 - ST MALON/MEL - à droite D31 direction Concoret) - D59 - MUEL - D59 - ST ONEN LA CHLLE – VC (direction Boisgervilly) – à gauche D125 – au rond point entrée St Méen, à droite D59 - LE CROUAIS - D59 - D28 - La Brohinière - MONTAUBAN
758;35;MONTAUBAN - D61 - BOISGERVILLY - D71 - ST MAUGAN - D30 - MUEL - D59 - ST ONEN LA CHLLE - VC (direction Boisgervilly) - à gauche D125 - au rond point entrée St Méen, à droite D59 - LE CROUAIS - D59 - D28 - La Brohinière - MONTAUBAN
761;50;MONTAUBAN – D28 – ROMILLE – à droite et aussitôt à gauche D21 – ST GILLES – D21 – L’HERMITAGE – à droite D125 – BRETEIL – D125 – MONTFORT/MEU – D125 – D61 – MONTAUBAN
762;40;MONTAUBAN – D28 – ROMILLE – à droite et encore à droite D68 – PLEUMELEUC – D68 – D31 – BEDEE (centre) – à gauche VC – BRETEIL – à droite D125 – MONTFORT/MEU – D125 – D61 – MONTAUBAN
